-43.7945132954	28.266259587		-3741.04692404
-43.7931484486	28.2656474573		-3736.25775319
-43.7917836175	28.2650353141		-3771.83539765
-43.7904188021	28.2644231573		-3796.08026025
-43.7890540024	28.263810987		-3824.33058618
-43.7876892183	28.2631988031		-3804.74393755
-43.7863244499	28.2625866057		-3800.9386013
-43.7849596972	28.2619743947		-3806.19523288
-43.7835949602	28.2613621701		-3798.60283493
-43.7822302389	28.260749932		-3796.68973728
-43.7808655332	28.2601376803		-3759.93053753
-43.7795008432	28.2595254151		-3712.46099941
-43.7781361689	28.2589131363		-3683.1874054
-43.7767715103	28.258300844		-3651.43861394
-43.7754068673	28.2576885381		-3599.95842349
-43.7740422401	28.2570762186		-3578.01954501
-43.7726776285	28.2564638856		NaN
-43.7713130325	28.255851539		NaN
-43.7699484523	28.2552391789		NaN
-43.7685838877	28.2546268053		NaN
-43.7672193388	28.2540144181		NaN
-43.7658548056	28.2534020173		NaN
-43.7644902881	28.252789603		NaN
-43.7631257862	28.2521771751		NaN
-43.7617613	28.2515647337		NaN
-43.7603968295	28.2509522787		NaN
-43.7590323746	28.2503398102		NaN
-43.7576679355	28.2497273282		NaN
-43.756303512	28.2491148326		NaN
-43.7549391042	28.2485023234		NaN
-43.753574712	28.2478898007		NaN
-43.7522103355	28.2472772645		NaN
-43.7508459747	28.2466647147		NaN
-43.7494816296	28.2460521514		NaN
-43.7481173002	28.2454395745		NaN
-43.7467529864	28.2448269841		NaN
-43.7453886883	28.2442143801		NaN
-43.7440244058	28.2436017626		NaN
-43.7426601391	28.2429891315		NaN
-43.741295888	28.2423764869		NaN
-43.7399316526	28.2417638288		NaN
-43.7385674328	28.2411511571		NaN
-43.7372032287	28.2405384719		NaN
-43.7358390403	28.2399257732		NaN
-43.7344748676	28.2393130609		NaN
-43.7337864429	28.2390038501		NaN
