no.      longtitude  latitude    distance  profile-len  min-depth  max-depth  conv
  2_42    -43.70472  28.16353       5.150       0             0          0      0
  2_43    -43.70472  28.16353       5.150       0             0          0      0
  2_44    -43.70472  28.16353       5.150       0             0          0      0
  2_45    -43.70472  28.16353       5.150       0             0          0      0
  2_46    -43.70472  28.16353       5.150       0             0          0      0
  2_47    -43.70472  28.16353       5.150       0             0          0      0
  2_48    -43.70472  28.16353       5.150       0             0          0      0
  2_49    -43.70472  28.16353       5.150      26         -2814      -3396      2
  2_50    -43.70472  28.16353       5.150       0             0          0      0
  2_51    -43.70472  28.16353       5.150       0             0          0      0
  2_52    -43.70472  28.16353       5.150       0             0          0      0
  2_53    -43.70472  28.16353       5.150       0             0          0      0
  2_54    -43.70472  28.16353       5.150       0             0          0      0
  2_55    -43.70472  28.16353       5.150       0             0          0      0
  2_56    -43.70472  28.16353       5.150       0             0          0      0
  2_57    -43.70472  28.16353       5.150       0             0          0      0
  2_58    -43.70472  28.16353       5.150       0             0          0      0
  2_59    -43.70472  28.16353       5.150       0             0          0      0
  2_60    -43.70472  28.16353       5.150       0             0          0      0
  2_61    -43.70472  28.16353       5.150       0             0          0      0
  2_62    -43.70472  28.16353       5.150       0             0          0      0
  2_63    -43.70472  28.16353       5.150       0             0          0      0
  2_64    -43.70472  28.16353       5.150       0             0          0      0
  2_65    -43.70472  28.16353       5.150       0             0          0      0
  2_66    -43.70472  28.16353       5.150       0             0          0      0
avg_  2   -43.70472  28.16353       5.150      26         -2845      -3378      1
std_  2   -43.70472  28.16353       5.150      26            65         68      0
  3_1     -43.74342  28.18708       9.759       0             0          0      0
  3_2     -43.74342  28.18708       9.759       0             0          0      0
  3_3     -43.74342  28.18708       9.759       0             0          0      0
  3_4     -43.74342  28.18708       9.759       0             0          0      0
  3_5     -43.74342  28.18708       9.759       0             0          0      0
  3_6     -43.74342  28.18708       9.759       0             0          0      0
  3_7     -43.74342  28.18708       9.759       0             0          0      0
  3_8     -43.74342  28.18708       9.759       0             0          0      0
  3_9     -43.74342  28.18708       9.759      29         -2748      -3175      7
  3_10    -43.74342  28.18708       9.759      33         -2688      -3151      7
  3_11    -43.74342  28.18708       9.759      36         -2702      -3176      7
