no.      longtitude  latitude   distance  l-width  r-width  l-height  r-height  l-minmax-slope  r-minmax-slope  l-max-slope  r-max-slope  l-area  r-area
  1_58    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_59    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_60    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_61    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_62    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_63    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_64    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_65    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  1_66    -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
avg_  1   -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
std_  1   -43.65987  28.13942     0.000       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_1     -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_2     -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_3     -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_4     -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_5     -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_6     -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_7     -43.70472  28.16353     5.150     600      1950      198       337        18.3             9.8           34.7          18.0      0.0502     0.2442
  2_8     -43.70472  28.16353     5.150     600      1800      232       374        21.2            11.7           35.7          35.6      0.0534     0.2495
  2_9     -43.70472  28.16353     5.150     600      1950      241       376        21.9            10.9           31.0          32.2      0.0614     0.2846
  2_10    -43.70472  28.16353     5.150     600      1950      256       391        23.1            11.3           36.1          25.2      0.0646     0.3238
  2_11    -43.70472  28.16353     5.150     600      1950      270       424        24.2            12.3           29.1          17.8      0.0743     0.3550
