no.      longtitude  latitude   distance  l-width  r-width  l-height  r-height  l-minmax-slope  r-minmax-slope  l-max-slope  r-max-slope  l-area  r-area
  4_45    -43.78732  28.21257    14.911    3150      2700      802       335        14.3             7.1           42.4          26.1      1.0622     0.4046
  4_46    -43.78732  28.21257    14.911    2400      1050      699       202        16.2            10.9           39.4          32.7      0.8422     0.0913
  4_47    -43.78732  28.21257    14.911    2400      1950      681       253        15.8             7.4           37.9          10.8      0.8681     0.1194
  4_48    -43.78732  28.21257    14.911    3450      1500      741       287        12.1            10.8           37.7          13.0      1.2000     0.0663
  4_49    -43.78732  28.21257    14.911    2700      1650      690       284        14.3             9.8           26.0          16.3      1.0448     0.0366
  4_50    -43.78732  28.21257    14.911    2850      2250      642       303        12.7             7.7           26.2           9.2      0.9903     0.0454
  4_51    -43.78732  28.21257    14.911    3300      2250      700       288        12.0             7.3           26.5          16.9      1.2291     0.0804
  4_52    -43.78732  28.21257    14.911    3300      2400      665       276        11.4             6.6           29.3          20.7      1.2045     0.1047
  4_53    -43.78732  28.21257    14.911    2550      3150      636       279        14.0             5.1           25.7          22.5      0.7049     0.3291
  4_54    -43.78732  28.21257    14.911    2700      3150      616       249        12.9             4.5           24.1          22.3      0.6821     0.3009
  4_55    -43.78732  28.21257    14.911    3300      1200      416       234         7.2            11.0           23.5          16.7      0.4940     0.1359
  4_56    -43.78732  28.21257    14.911    3150      1650      436       213         7.9             7.3           24.8          20.5      0.6116     0.1236
  4_57    -43.78732  28.21257    14.911    3150      1800      454       212         8.2             6.7           26.0          13.3      0.7209     0.1676
  4_58    -43.78732  28.21257    14.911    3900      1650      543       188         7.9             6.5           27.1          12.5      1.1872     0.1671
  4_59    -43.78732  28.21257    14.911    3900      1500      563       173         8.2             6.6           22.0          12.6      1.3517     0.1459
  4_60    -43.78732  28.21257    14.911    3900      1500      577       176         8.4             6.7           30.3          12.9      1.4189     0.1476
  4_61    -43.78732  28.21257    14.911    3900      1500      564       155         8.2             5.9           32.2          14.0      1.3796     0.0939
  4_62    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_63    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_64    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_65    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_66    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
avg_  4   -43.78732  28.21257    14.911    2496      2619      851       497        20.5            10.5           39.2          23.5      0.9159     0.6523
std_  4   -43.78732  28.21257    14.911     727       728      224       215         8.1             2.8            8.6           6.5      0.2909     0.4105
