# line 3=slope; line 4=area; line 5=width; line 6=height 
#  no. of hills,median no. of cross section, hill avg, hill avg SE, in flank avg, in flank SE, out flank, out flank SE, no. of inward facing hills, no. of outward facing hills, no. of symetrical hills, percent of inward facing hills, percent of asymmetrical hills
3.000000000000000000e+00,5.000000000000000000e+01,1.675000000000000000e+01,2.562523051651224293e+00,2.126666666666666572e+01,3.370303115363794344e+00,1.223333333333333428e+01,1.907921015562755285e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02
3.000000000000000000e+00,5.000000000000000000e+01,9.049000000000000377e-01,2.854484072909363457e-01,4.916333333333333666e-01,1.304205574889103214e-01,4.132666666666666710e-01,1.591248614915829473e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,3.575333333333333485e+03,6.539072164278943546e+02,1.643000000000000000e+03,3.185042319961510202e+02,1.932333333333333258e+03,3.363230154653518866e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,4.925000000000000000e+02,8.943335999926877378e+01,5.730000000000000000e+02,8.839808947156167562e+01,4.120000000000000000e+02,9.089690100584356003e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
